Index,Image Features
80,"[ 6.01232285e-03  1.83232930e-02  6.64065555e-02 ... -3.22980002e-15
  6.67187500e-01  3.35000000e+02]"
81,"[ 1.06042936e-01  2.38662720e-01  7.52129436e-01 ... -4.94726540e-16
  1.00000000e+00  9.11000000e+02]"
82,"[ 1.42147809e-01  1.76979363e-01  1.12492085e+00 ... -1.86244426e-16
  1.00000000e+00  6.37000000e+02]"
83,"[ 1.86040446e-01  1.52088553e-01  6.07197247e-02 ... -2.02570612e-16
  1.40043764e+00  5.18000000e+02]"
84,"[6.60280526e-01 2.37973309e+00 1.60096991e+00 ... 8.65379784e-18
 1.50234742e+00 1.16600000e+03]"
85,"[1.47367597e-01 9.03569698e-01 2.42782545e+00 ... 2.14815133e-15
 1.33333333e+00 8.16000000e+02]"
86,"[6.70286894e-01 1.36014915e+00 9.95828331e-01 ... 9.60557525e-17
 1.47806005e+00 2.55000000e+02]"
87,"[ 4.16415900e-01  3.12482297e-01  9.15089369e-01 ... -3.31895552e-19
  1.49882904e+00  6.19000000e+02]"
88,"[1.50230482e-01 1.26838163e-01 4.70681526e-02 ... 1.55207004e-16
 1.50943396e+00 4.41000000e+02]"
89,"[ 7.17093889e-03  9.42389607e-01  1.20407701e+00 ... -2.31114721e-19
  1.00000000e+00  1.00000000e+00]"
90,"[2.99438328e-01 3.51026744e-01 7.21606493e-01 ... 3.02437374e-15
 1.45785877e+00 2.05000000e+02]"
91,"[5.59109673e-02 7.68668294e-01 4.52913880e-01 ... 1.90947367e-16
 1.13475177e+00 8.14000000e+02]"
92,"[5.38819790e-01 3.23298164e-02 0.00000000e+00 ... 1.67500491e-18
 1.00000000e+00 9.23000000e+02]"
93,"[ 4.61656041e-02  2.85121620e-01  5.96258879e-01 ... -1.52011567e-19
  7.50000000e-01  1.67500000e+03]"
94,"[ 2.80906826e-01  7.60094896e-02  2.23088130e-01 ... -2.62388409e-15
  1.00000000e+00  1.20000000e+01]"
95,"[2.16626734e-01 7.02265620e-01 8.75127614e-01 ... 4.69200508e-20
 8.32812500e-01 1.00000000e+00]"
96,"[2.05256402e-01 9.55861568e-01 6.48846745e-01 ... 6.47828620e-17
 7.50000000e-01 9.89000000e+02]"
97,"[7.88978562e-02 3.72684896e-01 2.78473794e-01 ... 3.27097332e-21
 1.36460554e+00 1.22400000e+03]"
98,"[ 5.19624054e-02  4.55963403e-01  7.60860860e-01 ... -5.73081468e-16
  1.33333333e+00  4.79000000e+02]"
99,"[4.59596843e-01 1.05429769e+00 2.30627749e-02 ... 2.96114945e-17
 2.04472843e+00 4.51000000e+02]"
100,"[5.58045432e-02 1.59600809e-01 7.40089118e-01 ... 7.16879756e-17
 1.50150150e+00 4.25000000e+02]"
101,"[1.21557817e-01 5.84027767e-01 1.47758734e+00 ... 2.30873079e-15
 1.33333333e+00 3.75000000e+02]"
102,"[ 6.83548301e-02  0.00000000e+00  7.73156941e-01 ... -1.13821355e-16
  6.67187500e-01  4.44000000e+02]"
103,"[ 1.74555987e-01  2.69930243e-01  2.12185919e-01 ... -5.39686276e-16
  1.49882904e+00  7.42000000e+02]"
104,"[9.07599032e-02 1.02534962e+00 1.97476655e-01 ... 1.35840532e-19
 1.00000000e+00 1.28000000e+03]"
105,"[1.50902435e-01 3.40158552e-01 1.77184212e+00 ... 1.13576828e-15
 1.33333333e+00 7.08000000e+02]"
106,"[1.07564068e+00 1.64442912e-01 2.87820369e-01 ... 3.07248730e-17
 1.33333333e+00 9.41000000e+02]"
107,"[4.73226719e-02 1.08157825e+00 4.04950500e-01 ... 5.07807521e-19
 1.00000000e+00 9.60000000e+02]"
108,"[2.41950098e-02 4.74423170e-01 1.83476448e-01 ... 5.93083227e-19
 1.33333333e+00 8.69000000e+02]"
109,"[ 1.63093098e-02  1.68935204e+00  4.76842113e-02 ... -4.09563420e-20
  1.33333333e+00  1.44500000e+03]"
110,"[2.24018738e-01 1.50812939e-01 4.11224157e-01 ... 1.26954515e-14
 7.50000000e-01 3.41000000e+02]"
111,"[8.54100809e-02 2.15365425e-01 4.57357824e-01 ... 3.22053915e-17
 1.50234742e+00 6.09000000e+02]"
112,"[1.90134168e+00 1.63403656e-02 5.04074860e+00 ... 2.99361223e-15
 1.33333333e+00 1.92000000e+02]"
113,"[ 8.69622976e-02  1.32666573e-01  5.05469859e-01 ... -1.30017711e-15
  6.67187500e-01  3.34000000e+02]"
114,"[ 5.29008508e-01  1.63573289e+00  1.01762450e+00 ... -5.49601028e-18
  1.30346232e+00  6.49000000e+02]"
115,"[1.02901459e-02 1.65829390e-01 2.04364702e-01 ... 5.41874265e-17
 1.18959108e+00 5.34000000e+02]"
116,"[ 1.20987548e-02  1.10297970e-01  1.70411229e+00 ... -1.77355177e-15
  1.33333333e+00  4.22000000e+02]"
117,"[ 0.00000000e+00  4.79717374e-01  4.32754427e-01 ... -1.06841826e-21
  1.33333333e+00  1.29800000e+03]"
118,"[2.16986775e-01 8.81014764e-02 1.70558000e+00 ... 1.59891750e-17
 1.33333333e+00 4.07000000e+02]"
119,"[ 5.57756238e-02  9.92303967e-01  2.29384881e-02 ... -1.11165824e-19
  1.36170213e+00  1.06600000e+03]"
120,"[ 2.91498154e-01  9.73330975e-01  1.47366270e-01 ... -3.02344730e-16
  1.33333333e+00  4.00000000e+02]"
121,"[ 8.00258458e-01  2.57981509e-01  8.20371807e-01 ... -7.70998258e-17
  1.50234742e+00  8.85000000e+02]"
122,"[ 4.40812320e-01  6.98616430e-02  1.16885662e-01 ... -1.43690668e-16
  1.00000000e+00  5.29000000e+02]"
123,"[1.47879064e+00 3.54882312e+00 1.70727044e-01 ... 3.96251341e-18
 1.49882904e+00 7.36000000e+02]"
124,"[ 3.42622519e-01  4.48808819e-01  6.84743980e-03 ... -4.49350657e-18
  1.49532710e+00  7.98000000e+02]"
125,"[ 5.43489814e-01  0.00000000e+00  8.31014812e-01 ... -3.81083578e-16
  1.33333333e+00  7.19000000e+02]"
126,"[3.13999504e-02 5.14914989e-01 1.20761007e-01 ... 6.25456345e-19
 1.33333333e+00 1.03200000e+03]"
127,"[ 1.78262919e-01  1.28515780e+00  1.02491653e+00 ... -2.56083254e-17
  1.49882904e+00  7.43000000e+02]"
